Alias	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	INSDC_last_update	Instrument	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_accession	Sample_Name	Title	environment_biome	geographic_location_country_and_or_sea	Assay_Type	BioProject	Broker_name	Center_Name	Consent	Description	ENA_checklist	INSDC_center_name	INSDC_first_public	INSDC_status	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	environment_feature	environment_material	geographic_location_latitude	geographic_location_longitude	host_associated_environmental_package	investigation_type	project_name	sequencing_method
801017001	200	SAMEA104467419	sra	ncbi		ERX2294074	2018-01-11T15:12:14Z	Illumina HiSeq 2500	Nextera TX	26/07/2018	12090	8201	ERR2241916	ERS2085361	ERS2085361	SAMEA104467419 ERS2085361	NL-PooledPig-F1-S293	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
501217001	302	SAMEA104467300	sra	ncbi		ERX2297483	2018-01-11T15:12:11Z	Illumina HiSeq 2500	501217001_2	26/07/2018	16327	8074	ERR2245460	ERS2085242	ERS2085242	SAMEA104467300 ERS2085242	NL-PooledPig-F1-S174	pig	Belgium	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
101917001	302	SAMEA104467143	sra	ncbi		ERX2297471	2018-01-11T15:12:08Z	Illumina HiSeq 3000	101917001_2	26/07/2018	15993	8066	ERR2245448	ERS2085085	ERS2085085	SAMEA104467143 ERS2085085	NL-PooledPig-F1-S17	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
200617001	302	SAMEA104467174	sra	ncbi		ERX2293829	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	20278	8018	ERR2241671	ERS2085116	ERS2085116	SAMEA104467174 ERS2085116	NL-PooledPig-F1-S48	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
501217001	302	SAMEA104467300	sra	ncbi		ERX2293955	2018-01-11T15:12:11Z	Illumina HiSeq 2500	501217001	26/07/2018	16172	7986	ERR2241797	ERS2085242	ERS2085242	SAMEA104467300 ERS2085242	NL-PooledPig-F1-S174	pig	Belgium	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
603818001	302	SAMEA104467366	sra	ncbi		ERX2294021	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	17381	7976	ERR2241863	ERS2085308	ERS2085308	SAMEA104467366 ERS2085308	NL-PooledPig-F1-S240	poultry	Italy	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
601617001	302	SAMEA104467344	sra	ncbi		ERX2297501	2018-01-11T15:12:12Z	Illumina HiSeq 3000	601617001_2	26/07/2018	16211	7940	ERR2245478	ERS2085286	ERS2085286	SAMEA104467344 ERS2085286	NL-PooledPig-F1-S218	pig	Italy	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
103317001	302	SAMEA104467157	sra	ncbi		ERX2293812	2018-01-11T15:12:08Z	Illumina HiSeq 3000	Nextera TX	27/07/2018	15742	7776	ERR2241654	ERS2085099	ERS2085099	SAMEA104467157 ERS2085099	NL-PooledPig-F1-S31	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
102317001	302	SAMEA104467147	sra	ncbi		ERX2293802	2018-01-11T15:12:08Z	Illumina HiSeq 3000	102317001	25/07/2018	15598	7718	ERR2241644	ERS2085089	ERS2085089	SAMEA104467147 ERS2085089	NL-PooledPig-F1-S21	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
102317001	302	SAMEA104467147	sra	ncbi		ERX2297473	2018-01-11T15:12:08Z	Illumina HiSeq 3000	102317001_2	26/07/2018	15474	7665	ERR2245450	ERS2085089	ERS2085089	SAMEA104467147 ERS2085089	NL-PooledPig-F1-S21	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
321017001	302	SAMEA104467217	sra	ncbi		ERX2293872	2018-01-11T15:12:10Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	19269	7658	ERR2241714	ERS2085159	ERS2085159	SAMEA104467217 ERS2085159	NL-PooledPig-F1-S91	pig	France	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
710418001	302	SAMEA104467393	sra	ncbi		ERX2294048	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	17109	7653	ERR2241890	ERS2085335	ERS2085335	SAMEA104467393 ERS2085335	NL-PooledPig-F1-S267	poultry	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
601317001	302	SAMEA104467341	sra	ncbi		ERX2297498	2018-01-11T15:12:12Z	Illumina HiSeq 3000	601317001_2	26/07/2018	15187	7637	ERR2245475	ERS2085283	ERS2085283	SAMEA104467341 ERS2085283	NL-PooledPig-F1-S215	pig	Italy	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
802617001	302	SAMEA104467435	sra	ncbi		ERX2294090	2018-01-11T15:12:14Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	15997	7568	ERR2241932	ERS2085377	ERS2085377	SAMEA104467435 ERS2085377	NL-PooledPig-F1-S309	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
701917001	302	SAMEA104467388	sra	ncbi		ERX2294043	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	15389	7556	ERR2241885	ERS2085330	ERS2085330	SAMEA104467388 ERS2085330	NL-PooledPig-F1-S262	pig	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
601617001	302	SAMEA104467344	sra	ncbi		ERX2293999	2018-01-11T15:12:12Z	Illumina HiSeq 3000	601617001	26/07/2018	15462	7530	ERR2241841	ERS2085286	ERS2085286	SAMEA104467344 ERS2085286	NL-PooledPig-F1-S218	pig	Italy	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
404018001	302	SAMEA104467286	sra	ncbi		ERX2293941	2018-01-11T15:12:11Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	18842	7513	ERR2241783	ERS2085228	ERS2085228	SAMEA104467286 ERS2085228	NL-PooledPig-F1-S160	poultry	Spain	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
702017001	302	SAMEA104467389	sra	ncbi		ERX2294044	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	15042	7502	ERR2241886	ERS2085331	ERS2085331	SAMEA104467389 ERS2085331	NL-PooledPig-F1-S263	pig	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
321917001	302	SAMEA104467226	sra	ncbi		ERX2293881	2018-01-11T15:12:10Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	15406	7490	ERR2241723	ERS2085168	ERS2085168	SAMEA104467226 ERS2085168	NL-PooledPig-F1-S100	pig	France	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
400818001	302	SAMEA104467255	sra	ncbi		ERX2293910	2018-01-11T15:12:10Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	16378	7484	ERR2241752	ERS2085197	ERS2085197	SAMEA104467255 ERS2085197	NL-PooledPig-F1-S129	poultry	Spain	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
711818001	302	SAMEA104467407	sra	ncbi		ERX2294062	2018-01-11T15:12:13Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	16422	7454	ERR2241904	ERS2085349	ERS2085349	SAMEA104467407 ERS2085349	NL-PooledPig-F1-S281	poultry	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
500817001	302	SAMEA104467296	sra	ncbi		ERX2297482	2018-01-11T15:12:11Z	Illumina HiSeq 2500	500817001_2	26/07/2018	15036	7424	ERR2245459	ERS2085238	ERS2085238	SAMEA104467296 ERS2085238	NL-PooledPig-F1-S170	pig	Belgium	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
200417001	302	SAMEA104467172	sra	ncbi		ERX2293827	2018-01-11T15:12:09Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	18592	7415	ERR2241669	ERS2085114	ERS2085114	SAMEA104467172 ERS2085114	NL-PooledPig-F1-S46	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
600617001	302	SAMEA104467334	sra	ncbi		ERX2293989	2018-01-11T15:12:12Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	15792	7390	ERR2241831	ERS2085276	ERS2085276	SAMEA104467334 ERS2085276	NL-PooledPig-F1-S208	pig	Italy	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
700417001	302	SAMEA104467373	sra	ncbi		ERX2297505	2018-01-11T15:12:13Z	Illumina HiSeq 3000	700417001_2	26/07/2018	14916	7379	ERR2245482	ERS2085315	ERS2085315	SAMEA104467373 ERS2085315	NL-PooledPig-F1-S247	pig	Poland	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
330618001	302	SAMEA104467233	sra	ncbi		ERX2293888	2018-01-11T15:12:10Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	16237	7316	ERR2241730	ERS2085175	ERS2085175	SAMEA104467233 ERS2085175	NL-PooledPig-F1-S107	poultry	France	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
103517001	302	SAMEA104467159	sra	ncbi		ERX2293814	2018-01-11T15:12:08Z	Illumina HiSeq 3000	Nextera TX	25/07/2018	14702	7283	ERR2241656	ERS2085101	ERS2085101	SAMEA104467159 ERS2085101	NL-PooledPig-F1-S33	pig	Netherlands	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
802817001	302	SAMEA104467437	sra	ncbi		ERX2294092	2018-01-11T15:12:14Z	Illumina HiSeq 3000	Nextera TX	26/07/2018	15388	7283	ERR2241934	ERS2085379	ERS2085379	SAMEA104467437 ERS2085379	NL-PooledPig-F1-S311	pig	Germany	WGS	PRJEB22062	DTU-GE	DTU CGE	public	F corresponds to Farm number; S corresponds to sample number	ERC000013	DTU CGE	2018-07-24T17:03:10Z	public	300	PAIRED	RANDOM	METAGENOMIC	metagenome	ILLUMINA	25/07/2018	ERP024389	2015	gut	faeces	42.7339 N	25.4858 E	host-associated	metagenome	Gut microbiomes from 359 European pig and poultry herds (EFFORT)	Illumina HiSeq (shotgun)
